Service ID,Revenue (EUR),Gross Margin (EUR),Units Serviced,Service Category,Service Type,Contract Type
BST-14333,72067,-825,6,Mechanical Service,Drive Overhaul,Warranty
BST-10711,83302,-13971,5,Process Optimization,Scrap Reduction,Annual Contract
BST-17527,5347,-302,2,Process Optimization,Scrap Reduction,Spot Order
BST-18785,41142,6804,18,Mechanical Service,Drive Overhaul,Warranty
BST-12045,25548,-1632,2,Electrical & Automation,PLC Upgrade,Framework Agreement
BST-16201,48737,4237,13,Electrical & Automation,PLC Upgrade,Warranty
BST-11291,24986,3653,16,Electrical & Automation,Control Panel Service,Framework Agreement
BST-19044,11328,4271,3,Process Optimization,Yield Improvement,Warranty
BST-14803,71996,-4048,4,Process Optimization,Line Balancing,Annual Contract
BST-15925,40673,3901,14,Electrical & Automation,Control Panel Service,Spot Order
BST-19459,46577,4524,12,Process Optimization,Scrap Reduction,EMI Finance
BST-13150,84316,53121,2,Electrical & Automation,Control Panel Service,Annual Contract
BST-11139,48119,7847,6,Process Optimization,Scrap Reduction,Annual Contract
BST-10750,57932,-18260,3,Mechanical Service,Frame Repair,Spot Order
BST-13733,47967,1575,19,Process Optimization,Yield Improvement,Annual Contract
BST-14741,59472,35613,12,Process Optimization,Line Balancing,Warranty
BST-11307,18547,3328,13,Mechanical Service,Frame Repair,Framework Agreement
BST-13814,33217,20279,1,Process Optimization,Yield Improvement,Spot Order
BST-11654,51223,28866,4,Electrical & Automation,HMI Replacement,Framework Agreement
BST-16227,28624,18501,10,Electrical & Automation,Drive Tuning,Warranty
BST-14554,18290,9196,15,Mechanical Service,Line Inspection,Spot Order
BST-17428,12006,5528,11,Process Optimization,Scrap Reduction,Framework Agreement
BST-15977,72589,13949,10,Process Optimization,OEE Consulting,Spot Order
BST-12664,47881,7601,4,Process Optimization,Line Balancing,Spot Order
BST-16065,65252,-21123,18,Mechanical Service,Roll Replacement,EMI Finance
BST-15820,72805,-16033,3,Electrical & Automation,Drive Tuning,Annual Contract
BST-13432,63239,11110,14,Electrical & Automation,Drive Tuning,EMI Finance
BST-14374,42053,12293,15,Mechanical Service,Roll Replacement,Warranty
BST-11169,45656,-10120,18,Process Optimization,Throughput Analysis,EMI Finance
BST-19980,57204,8744,2,Mechanical Service,Roll Replacement,Annual Contract
BST-12803,40362,-7480,11,Process Optimization,Line Balancing,Spot Order
BST-18751,37730,18711,9,Electrical & Automation,HMI Replacement,Spot Order
BST-14010,36472,-8199,10,Process Optimization,Throughput Analysis,EMI Finance
BST-12677,66373,19313,19,Process Optimization,OEE Consulting,EMI Finance
BST-17573,82351,30521,20,Mechanical Service,Roll Replacement,Framework Agreement
BST-16216,4218,-1133,19,Process Optimization,OEE Consulting,Framework Agreement
BST-14422,75491,5026,1,Process Optimization,Line Balancing,Warranty
BST-19125,38467,11228,10,Process Optimization,Throughput Analysis,Warranty
BST-13598,39485,4088,2,Mechanical Service,Oven Maintenance,Spot Order
BST-15313,63971,7320,11,Electrical & Automation,Drive Tuning,EMI Finance
BST-10916,42353,16272,12,Mechanical Service,Drive Overhaul,Warranty
BST-13752,67999,14392,11,Mechanical Service,Drive Overhaul,Spot Order
BST-10525,35558,3541,5,Electrical & Automation,PLC Upgrade,Annual Contract
BST-15168,50851,26145,14,Mechanical Service,Drive Overhaul,Spot Order
BST-16572,76218,28286,7,Mechanical Service,Drive Overhaul,Spot Order
BST-14386,61686,9176,10,Electrical & Automation,HMI Replacement,Warranty
BST-11084,52043,8089,8,Mechanical Service,Line Inspection,Spot Order
BST-13456,6877,-2059,16,Process Optimization,Yield Improvement,EMI Finance
BST-19292,37953,7085,4,Process Optimization,Scrap Reduction,Warranty
BST-15155,48443,20048,12,Mechanical Service,Drive Overhaul,Annual Contract
BST-13483,75247,15938,12,Electrical & Automation,PLC Upgrade,EMI Finance
BST-18179,51139,7888,18,Electrical & Automation,PLC Upgrade,Framework Agreement
BST-16482,16072,-3557,4,Process Optimization,Throughput Analysis,Warranty
BST-17517,73616,43356,5,Electrical & Automation,Control Panel Service,Spot Order
BST-12340,53110,7970,2,Process Optimization,Throughput Analysis,Annual Contract
BST-14339,62594,10599,5,Mechanical Service,Drive Overhaul,EMI Finance
BST-12287,43487,25281,11,Process Optimization,Line Balancing,Spot Order
BST-14040,39721,9680,17,Electrical & Automation,HMI Replacement,EMI Finance
BST-19197,74283,-3729,1,Process Optimization,Scrap Reduction,Framework Agreement
BST-18830,55096,12876,1,Electrical & Automation,PLC Upgrade,EMI Finance
BST-14304,76321,17373,2,Electrical & Automation,Control Panel Service,EMI Finance
BST-19577,69212,19311,20,Electrical & Automation,Sensor Calibration,Warranty
BST-17019,4638,1032,4,Mechanical Service,Roll Replacement,Spot Order
BST-19560,41616,2862,14,Mechanical Service,Oven Maintenance,Spot Order
BST-16543,80647,46010,2,Electrical & Automation,HMI Replacement,Spot Order
BST-15930,74016,-1846,16,Process Optimization,Line Balancing,EMI Finance
BST-13593,23199,2544,18,Electrical & Automation,Control Panel Service,Framework Agreement
BST-12266,84819,38478,9,Process Optimization,Yield Improvement,EMI Finance
BST-18348,32811,-2329,10,Electrical & Automation,Sensor Calibration,Spot Order
BST-18085,27668,9413,16,Electrical & Automation,Control Panel Service,Framework Agreement
BST-11489,73964,43172,9,Electrical & Automation,Control Panel Service,Framework Agreement
BST-10771,71697,2128,13,Mechanical Service,Frame Repair,Framework Agreement
BST-11796,6013,-375,3,Mechanical Service,Drive Overhaul,Framework Agreement
BST-12504,63293,-8608,18,Electrical & Automation,Control Panel Service,Framework Agreement
BST-12621,18492,-4452,19,Process Optimization,Yield Improvement,Spot Order
BST-16916,70104,-8715,8,Mechanical Service,Line Inspection,Annual Contract
BST-19771,43792,16087,4,Mechanical Service,Oven Maintenance,Spot Order
BST-11040,21201,1206,16,Mechanical Service,Frame Repair,Warranty
BST-16304,38149,-1099,2,Process Optimization,Line Balancing,Annual Contract
BST-16252,30937,5728,2,Process Optimization,Throughput Analysis,Spot Order
BST-19763,5263,3406,13,Electrical & Automation,Sensor Calibration,Warranty
BST-17668,5410,-1843,19,Mechanical Service,Drive Overhaul,EMI Finance
BST-18669,37798,3944,18,Mechanical Service,Drive Overhaul,EMI Finance
BST-14119,66588,7858,7,Electrical & Automation,Sensor Calibration,Annual Contract
BST-19064,60650,18091,6,Electrical & Automation,Sensor Calibration,Annual Contract
BST-10188,39169,8530,7,Process Optimization,Yield Improvement,Spot Order
BST-11876,56559,9348,3,Process Optimization,Scrap Reduction,Warranty
BST-18797,24719,15614,16,Process Optimization,OEE Consulting,Framework Agreement
BST-14371,34681,1164,15,Mechanical Service,Line Inspection,Framework Agreement
BST-15573,76844,28653,1,Electrical & Automation,Control Panel Service,Framework Agreement
BST-11827,31472,-9060,4,Process Optimization,Yield Improvement,Warranty
BST-14808,53638,18026,10,Electrical & Automation,Sensor Calibration,Annual Contract
BST-17123,48674,12880,8,Process Optimization,Yield Improvement,Spot Order
BST-12591,60134,23917,20,Electrical & Automation,Sensor Calibration,Framework Agreement
BST-17433,62212,25342,7,Electrical & Automation,HMI Replacement,Spot Order
BST-10053,11230,1970,17,Process Optimization,Throughput Analysis,Framework Agreement
BST-14315,15207,-4383,18,Mechanical Service,Frame Repair,EMI Finance
BST-18201,70841,-14178,11,Mechanical Service,Frame Repair,EMI Finance
BST-12927,27422,10061,16,Electrical & Automation,PLC Upgrade,Annual Contract
BST-18317,7792,805,17,Process Optimization,Scrap Reduction,Warranty
BST-11743,8067,1684,10,Electrical & Automation,HMI Replacement,Annual Contract
BST-14889,895,354,19,Electrical & Automation,Control Panel Service,Annual Contract
BST-18317,45658,15997,18,Mechanical Service,Oven Maintenance,Annual Contract
BST-19977,4659,-293,6,Mechanical Service,Oven Maintenance,Spot Order
BST-13258,49581,31873,13,Process Optimization,Scrap Reduction,Warranty
BST-12504,11018,3666,18,Electrical & Automation,Drive Tuning,Spot Order
BST-16126,16049,-2752,18,Process Optimization,Yield Improvement,Warranty
BST-12646,29688,14393,1,Process Optimization,Line Balancing,Framework Agreement
BST-18837,56091,10204,8,Electrical & Automation,HMI Replacement,Spot Order
BST-18689,20832,-1548,4,Electrical & Automation,Control Panel Service,Annual Contract
BST-10009,81099,33741,1,Process Optimization,Scrap Reduction,Spot Order
BST-19813,13724,3347,15,Mechanical Service,Line Inspection,EMI Finance
BST-15310,32577,12722,13,Process Optimization,OEE Consulting,Warranty
BST-18005,28977,11717,2,Mechanical Service,Frame Repair,Spot Order
BST-10319,31192,14528,19,Process Optimization,Yield Improvement,Framework Agreement
BST-11832,42530,-4809,5,Process Optimization,Throughput Analysis,EMI Finance
BST-15947,39887,-2985,18,Mechanical Service,Oven Maintenance,EMI Finance
BST-15038,82550,27138,18,Process Optimization,Line Balancing,Warranty
BST-13923,84820,27256,17,Mechanical Service,Drive Overhaul,Framework Agreement
BST-10949,54011,-10844,13,Process Optimization,Scrap Reduction,Spot Order
BST-13946,32084,16020,10,Process Optimization,Scrap Reduction,Spot Order
BST-19295,74213,4651,14,Electrical & Automation,PLC Upgrade,EMI Finance
BST-11290,51410,-5508,7,Process Optimization,Line Balancing,Framework Agreement
BST-11403,59454,29556,3,Process Optimization,OEE Consulting,EMI Finance
BST-17962,7255,-591,20,Process Optimization,Line Balancing,EMI Finance
BST-11133,25162,11439,19,Mechanical Service,Line Inspection,EMI Finance
BST-18727,27879,14482,11,Mechanical Service,Oven Maintenance,Framework Agreement
BST-12060,25406,15550,4,Mechanical Service,Roll Replacement,Warranty
BST-12103,27305,1273,8,Mechanical Service,Frame Repair,EMI Finance
BST-17787,50394,5858,12,Electrical & Automation,Control Panel Service,Framework Agreement
BST-19007,67715,36079,15,Electrical & Automation,Control Panel Service,Annual Contract
BST-12705,42473,23968,12,Process Optimization,Scrap Reduction,Framework Agreement
BST-14342,74231,38161,5,Electrical & Automation,PLC Upgrade,Annual Contract
BST-18645,77050,17655,14,Electrical & Automation,HMI Replacement,Framework Agreement
BST-19938,43736,-5247,19,Mechanical Service,Roll Replacement,Spot Order
BST-16932,44745,-4146,16,Electrical & Automation,HMI Replacement,Warranty
BST-13470,46660,-8433,18,Electrical & Automation,Sensor Calibration,Warranty
BST-18835,84623,51386,17,Mechanical Service,Frame Repair,Annual Contract
BST-13295,1336,83,8,Mechanical Service,Line Inspection,Annual Contract
BST-15107,1698,-222,15,Process Optimization,Line Balancing,Framework Agreement
BST-16537,84088,26635,20,Mechanical Service,Frame Repair,Warranty
BST-16118,2561,-879,18,Process Optimization,Scrap Reduction,Warranty
BST-17177,69891,26012,18,Mechanical Service,Line Inspection,Framework Agreement
BST-18479,56936,25972,6,Mechanical Service,Frame Repair,Annual Contract
BST-17397,20016,-2182,20,Mechanical Service,Frame Repair,EMI Finance
BST-11982,35538,15812,3,Electrical & Automation,Control Panel Service,Framework Agreement
BST-14061,74555,-7961,8,Electrical & Automation,Drive Tuning,Framework Agreement
BST-13681,4652,-1193,13,Process Optimization,OEE Consulting,Warranty
BST-11049,7855,2252,6,Process Optimization,Scrap Reduction,Annual Contract
BST-15539,43920,9480,4,Electrical & Automation,Drive Tuning,EMI Finance
BST-10344,28210,15551,19,Mechanical Service,Roll Replacement,Warranty
BST-19638,10244,3425,9,Electrical & Automation,PLC Upgrade,EMI Finance
BST-19075,24008,13895,11,Process Optimization,OEE Consulting,Annual Contract
BST-13770,19399,7803,13,Mechanical Service,Frame Repair,Annual Contract
BST-19641,74419,-8150,13,Electrical & Automation,Sensor Calibration,EMI Finance
BST-13608,18843,8300,3,Electrical & Automation,Drive Tuning,EMI Finance
BST-10117,7538,-1901,8,Process Optimization,Yield Improvement,Annual Contract
BST-11163,80960,48969,13,Electrical & Automation,HMI Replacement,Framework Agreement
BST-10964,59554,8373,12,Mechanical Service,Drive Overhaul,EMI Finance
BST-13750,24845,8191,13,Electrical & Automation,Drive Tuning,Annual Contract
BST-11104,32802,11910,3,Process Optimization,Yield Improvement,Framework Agreement
BST-10514,83586,-16359,13,Mechanical Service,Oven Maintenance,Framework Agreement
BST-15413,12495,-4308,10,Electrical & Automation,PLC Upgrade,Warranty
BST-11160,13899,-3022,6,Electrical & Automation,Control Panel Service,Warranty
BST-18423,73210,11892,4,Electrical & Automation,HMI Replacement,Annual Contract
BST-13899,73142,-18792,20,Mechanical Service,Drive Overhaul,Framework Agreement
BST-14562,38753,2472,3,Electrical & Automation,PLC Upgrade,EMI Finance
BST-17953,68802,-12413,13,Mechanical Service,Frame Repair,Spot Order
BST-13510,39969,-3261,5,Mechanical Service,Drive Overhaul,Annual Contract
BST-18834,36670,2607,16,Mechanical Service,Oven Maintenance,Annual Contract
BST-12167,32821,12173,16,Electrical & Automation,Control Panel Service,EMI Finance
BST-19355,60512,-14706,10,Process Optimization,Line Balancing,Annual Contract
BST-19440,81789,2444,11,Electrical & Automation,Control Panel Service,Warranty
BST-17744,78408,-16769,11,Electrical & Automation,Drive Tuning,EMI Finance
BST-13981,63284,-2266,13,Process Optimization,Line Balancing,Framework Agreement
BST-17749,75981,32821,11,Electrical & Automation,Drive Tuning,Warranty
BST-16669,48343,-11414,19,Electrical & Automation,Drive Tuning,Spot Order
BST-13119,24083,7988,18,Process Optimization,Throughput Analysis,Annual Contract
BST-11545,27979,2474,10,Process Optimization,Scrap Reduction,Annual Contract
BST-11588,18742,5310,8,Electrical & Automation,Drive Tuning,Framework Agreement
BST-17062,55960,24570,3,Process Optimization,Line Balancing,Warranty
BST-15804,76815,3902,17,Process Optimization,Scrap Reduction,Warranty
BST-16939,47624,16746,18,Process Optimization,OEE Consulting,EMI Finance
BST-16735,14835,6215,12,Process Optimization,OEE Consulting,Spot Order
BST-17651,6306,1344,13,Process Optimization,Throughput Analysis,Framework Agreement
BST-10887,1882,-473,8,Electrical & Automation,PLC Upgrade,EMI Finance
BST-11612,73637,16974,19,Process Optimization,Throughput Analysis,Spot Order
BST-10993,51766,5852,19,Electrical & Automation,Control Panel Service,EMI Finance
BST-16596,3719,493,10,Mechanical Service,Drive Overhaul,Warranty
BST-15559,19069,-31,11,Mechanical Service,Line Inspection,Warranty
BST-11790,63798,-108,4,Mechanical Service,Frame Repair,Warranty
BST-14073,42300,-11963,2,Process Optimization,Scrap Reduction,Annual Contract
BST-13139,14834,4852,6,Mechanical Service,Drive Overhaul,Spot Order
BST-13116,72839,-13829,18,Process Optimization,Line Balancing,Warranty
BST-18786,53590,14992,6,Electrical & Automation,Sensor Calibration,Warranty
BST-17350,80992,43176,15,Electrical & Automation,PLC Upgrade,EMI Finance
BST-12296,1083,384,7,Electrical & Automation,Drive Tuning,Framework Agreement
BST-16912,76174,-18910,18,Process Optimization,OEE Consulting,Spot Order
BST-13006,26330,2831,9,Electrical & Automation,Control Panel Service,Warranty
BST-14563,78746,3042,13,Process Optimization,Yield Improvement,EMI Finance
BST-17579,46635,23108,20,Mechanical Service,Drive Overhaul,Spot Order
BST-14092,81041,19463,5,Process Optimization,Yield Improvement,Framework Agreement
BST-11235,40526,-9444,12,Mechanical Service,Roll Replacement,Spot Order
BST-17260,55319,13632,19,Process Optimization,Scrap Reduction,Warranty
BST-19016,64288,18354,6,Electrical & Automation,Sensor Calibration,EMI Finance
BST-11604,38358,-8043,11,Mechanical Service,Oven Maintenance,Warranty
BST-10828,47559,28623,16,Process Optimization,OEE Consulting,Spot Order
BST-18856,74107,11519,16,Mechanical Service,Oven Maintenance,Warranty
BST-10241,54977,19799,15,Process Optimization,Scrap Reduction,Warranty
BST-11528,74607,-23810,8,Mechanical Service,Line Inspection,Framework Agreement
BST-13872,29970,5622,6,Mechanical Service,Drive Overhaul,Warranty
BST-12724,72553,11666,19,Process Optimization,Scrap Reduction,Annual Contract
BST-16658,48585,9330,2,Electrical & Automation,HMI Replacement,Warranty
BST-17956,56225,-13920,8,Process Optimization,Line Balancing,Framework Agreement
BST-17886,34947,-49,3,Mechanical Service,Oven Maintenance,Warranty
BST-13502,28009,12903,19,Mechanical Service,Roll Replacement,Framework Agreement
BST-16570,83438,6522,20,Process Optimization,Throughput Analysis,Spot Order
BST-10960,8280,1822,18,Mechanical Service,Roll Replacement,Framework Agreement
BST-12697,22569,-594,10,Process Optimization,Throughput Analysis,Framework Agreement
BST-16209,67925,43165,4,Process Optimization,Yield Improvement,Spot Order
BST-10035,36849,19052,5,Electrical & Automation,PLC Upgrade,Spot Order
BST-16396,42717,20439,13,Mechanical Service,Roll Replacement,Warranty
BST-14345,83390,-6778,14,Mechanical Service,Frame Repair,Warranty
BST-17454,83550,37146,3,Electrical & Automation,PLC Upgrade,Warranty
BST-14673,48874,5116,16,Process Optimization,Yield Improvement,Framework Agreement
BST-16930,12708,4840,15,Process Optimization,OEE Consulting,Framework Agreement
BST-19105,52629,-6955,14,Mechanical Service,Frame Repair,Spot Order
BST-17973,42818,20481,11,Electrical & Automation,Control Panel Service,EMI Finance
BST-12536,74705,37533,11,Process Optimization,Line Balancing,Annual Contract
BST-13111,82574,35828,15,Mechanical Service,Line Inspection,Annual Contract
BST-14861,58340,6214,14,Mechanical Service,Roll Replacement,Spot Order
BST-13566,40066,-7653,9,Process Optimization,Line Balancing,Annual Contract
BST-10958,33319,-8915,6,Process Optimization,Yield Improvement,Annual Contract
BST-19489,31189,2471,3,Electrical & Automation,Control Panel Service,Annual Contract
BST-18883,62996,-17138,19,Mechanical Service,Roll Replacement,Spot Order
BST-10998,1717,-587,11,Process Optimization,Scrap Reduction,Annual Contract
BST-15138,63113,-17619,13,Electrical & Automation,Sensor Calibration,Annual Contract
BST-10936,14026,-514,10,Process Optimization,OEE Consulting,Spot Order
BST-10821,84592,54387,5,Electrical & Automation,Sensor Calibration,Annual Contract
BST-19571,1610,419,6,Process Optimization,Throughput Analysis,Warranty
BST-17811,82823,32985,14,Electrical & Automation,Sensor Calibration,EMI Finance
BST-18238,28974,-7629,4,Process Optimization,Scrap Reduction,Spot Order
BST-18701,50835,78,14,Mechanical Service,Frame Repair,Framework Agreement
BST-12579,36802,10842,8,Mechanical Service,Roll Replacement,EMI Finance
BST-10931,80138,-5215,1,Process Optimization,Throughput Analysis,Framework Agreement
BST-18320,80051,12769,13,Mechanical Service,Frame Repair,Framework Agreement
BST-11312,31870,4617,4,Process Optimization,OEE Consulting,Spot Order
BST-13044,9807,1748,1,Electrical & Automation,HMI Replacement,Framework Agreement
BST-11122,51203,26155,19,Electrical & Automation,Sensor Calibration,Warranty
BST-19749,23145,9552,3,Electrical & Automation,HMI Replacement,Annual Contract
BST-11113,2307,-202,2,Process Optimization,OEE Consulting,Annual Contract
BST-13853,38050,10599,17,Electrical & Automation,HMI Replacement,Warranty
BST-16615,11303,3283,18,Electrical & Automation,Drive Tuning,EMI Finance
BST-11964,11457,-459,17,Mechanical Service,Drive Overhaul,Spot Order
BST-19333,43327,1764,3,Mechanical Service,Frame Repair,Framework Agreement
BST-14033,31778,-9282,3,Process Optimization,Scrap Reduction,Warranty
BST-19485,80754,20901,10,Mechanical Service,Oven Maintenance,Spot Order
BST-19740,18484,6497,6,Mechanical Service,Line Inspection,Warranty
BST-10651,68293,29569,9,Electrical & Automation,HMI Replacement,Spot Order
BST-11343,35727,13681,4,Electrical & Automation,Sensor Calibration,Annual Contract
BST-16868,36149,6284,9,Electrical & Automation,Drive Tuning,EMI Finance
BST-19562,65531,6893,12,Process Optimization,OEE Consulting,Annual Contract
BST-19260,22373,395,9,Electrical & Automation,HMI Replacement,Annual Contract
BST-18565,30437,11894,1,Process Optimization,OEE Consulting,Annual Contract
BST-15183,6526,794,13,Mechanical Service,Roll Replacement,Spot Order
BST-14272,72965,33061,14,Mechanical Service,Line Inspection,Spot Order
BST-13346,55059,31155,11,Electrical & Automation,Sensor Calibration,Framework Agreement
BST-15147,49364,-11383,2,Mechanical Service,Frame Repair,Spot Order
BST-13910,6519,3937,3,Mechanical Service,Frame Repair,Warranty
BST-14351,43399,-11440,15,Electrical & Automation,Control Panel Service,Annual Contract
BST-16484,38719,8278,10,Electrical & Automation,Sensor Calibration,EMI Finance
BST-12144,48770,11787,16,Mechanical Service,Oven Maintenance,Spot Order
BST-14915,32629,-6507,14,Process Optimization,Throughput Analysis,Annual Contract
BST-17491,45906,13126,1,Mechanical Service,Frame Repair,Framework Agreement
BST-15180,40806,-10040,17,Mechanical Service,Oven Maintenance,Spot Order
BST-11188,8350,5198,5,Electrical & Automation,Drive Tuning,Framework Agreement
BST-10152,30839,16877,17,Mechanical Service,Line Inspection,Warranty
BST-17508,60591,37842,3,Process Optimization,Yield Improvement,EMI Finance
BST-19224,17999,5169,13,Mechanical Service,Frame Repair,Annual Contract
BST-11638,8663,736,5,Process Optimization,Throughput Analysis,Spot Order
BST-11200,41788,24071,13,Electrical & Automation,Control Panel Service,Framework Agreement
BST-18808,36145,-4206,7,Electrical & Automation,Drive Tuning,Spot Order
BST-13492,20869,-5099,15,Process Optimization,OEE Consulting,Warranty
BST-18288,16325,3035,7,Electrical & Automation,Drive Tuning,Warranty
BST-14345,35235,17704,3,Electrical & Automation,Drive Tuning,Spot Order
BST-12170,79576,-24642,11,Process Optimization,Yield Improvement,Spot Order
BST-15718,47127,2179,2,Mechanical Service,Roll Replacement,Framework Agreement
BST-11127,4573,2753,15,Electrical & Automation,Sensor Calibration,EMI Finance
BST-14002,33248,-8487,4,Process Optimization,Throughput Analysis,Spot Order
BST-16054,8583,4123,8,Mechanical Service,Line Inspection,Spot Order
BST-14669,49290,16575,3,Mechanical Service,Oven Maintenance,EMI Finance
BST-12584,10328,-3389,3,Process Optimization,Yield Improvement,Spot Order
BST-17179,17380,-4484,11,Process Optimization,Scrap Reduction,Annual Contract
BST-18900,7137,-1299,19,Mechanical Service,Oven Maintenance,Warranty
BST-14956,65528,-21002,14,Process Optimization,Scrap Reduction,Spot Order
BST-18666,25030,-1877,15,Electrical & Automation,Sensor Calibration,Spot Order
BST-10128,81656,21800,10,Mechanical Service,Frame Repair,Warranty
BST-19086,63287,-18291,9,Electrical & Automation,HMI Replacement,Warranty
BST-14905,26643,7797,17,Mechanical Service,Oven Maintenance,Spot Order
BST-11697,3059,1955,12,Process Optimization,Throughput Analysis,Warranty
BST-12200,45593,25654,17,Process Optimization,Scrap Reduction,Framework Agreement
BST-14333,24068,-7796,20,Electrical & Automation,Control Panel Service,Spot Order
BST-11891,8179,3751,16,Mechanical Service,Drive Overhaul,EMI Finance
BST-11753,31008,19348,4,Electrical & Automation,HMI Replacement,Spot Order
BST-19064,35434,6508,2,Process Optimization,Line Balancing,Spot Order
BST-12546,47004,27507,6,Process Optimization,Scrap Reduction,Spot Order
BST-14462,42181,19243,12,Mechanical Service,Frame Repair,EMI Finance
BST-14616,74903,15999,19,Mechanical Service,Drive Overhaul,Spot Order
BST-19909,41008,-7153,2,Electrical & Automation,HMI Replacement,Annual Contract
BST-13450,79361,-10411,17,Mechanical Service,Roll Replacement,Warranty
BST-15617,80995,-12030,5,Mechanical Service,Drive Overhaul,Framework Agreement
BST-13335,42913,-12463,5,Process Optimization,Line Balancing,EMI Finance
BST-14325,15038,7466,12,Process Optimization,Line Balancing,Annual Contract
BST-18280,77310,-19247,10,Electrical & Automation,Drive Tuning,Framework Agreement
BST-18004,57761,25521,16,Mechanical Service,Roll Replacement,Framework Agreement
BST-14114,80940,35370,8,Mechanical Service,Frame Repair,EMI Finance
BST-10832,40715,15634,10,Mechanical Service,Oven Maintenance,Spot Order
BST-11512,75582,3144,19,Mechanical Service,Line Inspection,Annual Contract
BST-16939,42209,24102,20,Mechanical Service,Frame Repair,Spot Order
BST-14533,14145,8298,5,Process Optimization,Throughput Analysis,Framework Agreement
BST-10722,31694,-101,11,Process Optimization,OEE Consulting,Spot Order
BST-10058,84268,31961,11,Process Optimization,OEE Consulting,Warranty
BST-15464,27983,-2811,3,Mechanical Service,Drive Overhaul,Framework Agreement
BST-12143,667,-201,15,Electrical & Automation,PLC Upgrade,Warranty
BST-14291,65129,34633,12,Mechanical Service,Oven Maintenance,EMI Finance
BST-12647,63347,27792,19,Electrical & Automation,PLC Upgrade,Spot Order
BST-17239,10161,4564,2,Mechanical Service,Oven Maintenance,Framework Agreement
BST-19038,34726,20893,3,Mechanical Service,Drive Overhaul,Framework Agreement
BST-17007,21590,8247,18,Mechanical Service,Oven Maintenance,Annual Contract
BST-19189,80931,43963,1,Electrical & Automation,HMI Replacement,Warranty
BST-10158,80102,43235,6,Process Optimization,Line Balancing,Annual Contract
BST-11832,27441,17134,14,Mechanical Service,Drive Overhaul,EMI Finance
BST-11232,35268,10954,10,Process Optimization,Throughput Analysis,Spot Order
